text,sentiment
responded going,1
sooo sad miss san diego,0
bos bullying,0
interview leave alone,0
son put release already bought,0
shameless plugging best ranger forum earth,1
feeding baby fun smile coo,2
soooo high,1
journey wow u became cooler hehe possible,2
much love hopeful reckon chance minimal p never gon na get cake stuff,1
really really like song love story taylor swift,2
sharpie running dangerously low ink,0
want go music tonight lost voice,0
test test lg,1
uh oh sunburned,0
ok trying plot alternative speak sigh,0
sick past day thus hair look wierd didnt hat would look,0
back home gon na miss every one,0
he,1
oh marly sorry hope find soon,1
playing ghost online really interesting new update kirin pet metamorph third job wait dragon pet,2
cleaning house family comming later today,1
got ta restart computer thought supposed put end constant rebootiness,1
see wat mean bout friidays called lose friday smh,1
free fillin app ipod fun im addicted,2
sorry,0
way malaysia internet access twit,0
juss came backk berkeleyy omg madd fun havent minute whassqoodd,2
went sleep power cut noida power back working,0
going home seen new twitter design quite heavenly,2
hope unni make audition fighting dahye unni,2
consolation got bmi tested hahaha say obesed well much unhappy minute,0
funny cute kid,2
ahhh slept game gon na try best watch tomorrow though hope play army,1
thats end tear fear v eric prydz dj hero,1
born raised nyc living texas past year still miss ny,0
case wonder really busy today coming adding ton new blog update stay tuned,1
soooooo sleeeeepy last day school today sniffle,0
little happy wine jeje ok sm free time care jaja love day,2
car happy big big dent boot hoping theyre going write crossing finger waiting,1
im avid fan magazine love magazine,2
mayday,1
ratt rocked nashville tonite one thing sucked encore like still fun show pearcy hott bad boy look,1
love available dear would love help convert vids ã â â½,2
girl hair salon asked shall trim eyebrow old feel,1
egh blah boooooooooooo dunno wan na go work hangover suckkkkkk im drunk mess,0
visiting friendster facebook,1
donbt like peel prawn also dont like going shopping running money crawling round car looking,0
case got new one last week thrilled mine,0
check connect tweeple hate twitter,1
also bored school third freelesson freistunde,1
hm u guess,1
u dissappointed past day,0
romance zero funny,2
rather early run morning runner,1
bah coworker ran work late bag smacked knee really hurt,0
back later,1
aw torn ace heart hunchback,0
fun speaking,1
lost friend alone sleepy wan na go home,0
haha yes,1
give easily,0
better way spoil mum let kick back relax nice meal bottle favorite wine wine red,2
mannnn got iphone im jealous,0
photoshoot,1
awesome worked good friend,2
yay playing show tonight boo gon na soggy work right playing,1
chilliin,2
know agent let know,1
still smell smoke kitchenfire,1
celtic lakers rematch sound better think lol,2
anyone extra keane ticket promise buy drink take rad pic fb blog flickr etc,1
ride one catch one summer til pop open one,1
good gor juz yea kno asked yesterday tha hospital talked u said,1
ok popped say hi check thing probably head guttah later tonight,1
wow really missin fam ily today baddd,0
source say,1
sooo tired,0
hey change twitter account even tell,1
thank yyyyyyyyyoooooooooouuuuu,2
lucky kid wan na see loserville pity im oz,2
fell asleep waiting ride,1
sick flu like thing,0
still reply simfinger problem irape parody video get response sorry guy,0
happy star war day everyone enjoy holiday uk,2
mile essex give plenty warning arrive time get least one free beer,1
snoring annoying n keep sleeping like right lol honestly wud miss eva left love,1
miss bby wish going tomorrow make good,0
well im working quite ready post publicly still beta testing cool new script coded,2
sweeeeet san fran awesome love,2
mounce yes last way past bedtime,1
hi joined twitter,1
waiting sleeping pill kick gon na tired work tomorrow,0
eating ice cream getting ready graduation,1
happy mother day mum,2
casey gone piddled little carpet prolly freaked cause new get back,0
hemp cloth marvelous unfortunately,0
gon na read story bout adam lambert online bed nighty night,1
saw none baddie best,2
im beach pretty,2
certainly cheer huh,1
week post horrible traumatic jumping cholla accident cholla next dirty trick piece starting emerge hand ouch,0
realy wanted go cause nice everybodys busy,0
awesome ocean beach know way yourbiggestfan al big fan r,2
least get watch time let go pen,1
cool wear black time go,1
haha know work blip apart obvious thanks reblipping song nice day,2
safe trip joshy poo knock dead speech,2
woof wish allowed go,2
u friendster add email adress add com add leave comment,1
ticket,1
thank afrin nasal spray also got giant teacup tonight,2
acsm unfathomable think one one kept comfort bedroom yes,1
aww love daddy work day week almost day still try go sf u,2
many test todayyy feel confident anyy,0
graduation done im little sad anyone want hang,0
hahaa awesomee,2
holy smoke star trek freaking awesomeeeee,2
hate fallout keep making jump also low health money ammo food worry get,1
itunes lost song,1
gloomy weather sun must tired come play heading victoria garden impulse buy haha,1
looking forward next week math geography english french exam totalling hour,0
poor get outside sleep garden sun good forget suncream,0
well,0
prob hun,2
dad watching mtv going minutee,1
absolutely,1
matter chickadee,1
hey mia totally adore music cd,2
shopping cleaning bmfing webcam chatting nephew nothing spesh good bank holiday monday nonetheless,2
need ask something lmao love,2
splinter look painful heroic saving mr pickle,0
sad,0
nice see tweeting sunday may celebrating mother day today nice yer mom,2
decided trans frm relaxed natural hair wish whole head looked like root age instant gratification,2
namaskar namaste r marathi people say namaskar marathi word naaaah,1
congrats cuss like matter minute know reward,1
humous dorito oh yes,1
missed awesome weather movie,0
today going normal day hope group pilot large airline come last night much drink,1
kid terrible good evans call childline,0
unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one day,0
sad actually google term suck tho,0
hate fighting,0
watched didnt want win put good fight lol,1
car warmed sprite taste like sore throat,0
came cross country beat dumbo,1
candle wax enjoyable,2
unassuming unpretentious suppose endearing relate,2
tomorrow valeria lunch going get hair done im arraving late got cousin babtizm whatever spell,1
goooooddd morning tweet week three workout mention got new glass yesterday,2
hate computer much,0
fine going big walk today mile,2
want red cruiser like one lmfao,0
mmmmmmmm morning,1
neither,1
hour work sunday boo find time two hour lunchbreak though yeah,1
bugger forgot still washing machine,0
laurie sending love blessing healing thought family peace,2
back hurt really bad,0
ah yes know feeling,1
night cooker dad,1
modem offline week god bless network tim left may schedule brutal,0
nope coquitlam,1
parent teacher thing yesterday boring going skl saturday lol,0
lichfield tweetup sound like fun hope see everyone else,2
big booming thunder storm almost maybe go home early ah probably,1
bevvies twn great day,2
first night myers w lydia actually excited summer,2
good morning,2
best show ever,2
url previous post timer job removed space messed url e,0
think iv hurt tooth eilish cassie drawing competiton draw cooky pineapple haha l,1
want know audition mander text reply please,1
even nooooo secret namerebecca please,0
miss neice wait see bad n grown lol,0
need get computer fixed,1
really hope car illness terminal,0
cool people want find following today english guess english tweet,1
sir woulda put honey,1
watched x men origin wolverine totally loved haha,2
voted u personal myspace keep talking fake u helped thru hrdest time life x,2
sad missed guy last night,0
finally got call marriage counseling day late,1
ok,1
baby,1
today last day high school ended going home sick stupid dead rat,0
impromptu pool party except know swim get,1
lost tooth whilst eating gum oww,0
happy year,2
oh hella forgot say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol,2
phew make note case anyone else run issueã â â½,1
vote every day,0
starving diet killing eat,0
talk,1
im soo bored im deffo missing music channel,0
nite nite bday girl fun concert,2
nicotine replacement patch hour far good sleep hour getting bit twitchy,1
sanderson twatter lately either get reply turn,1
sleeping lost voice couple day ago,0
hate parked car get hit,0
heard fall waiting,1
nightmare huggles,1
creeper feel disappointed cyberstalking skill internet privacy,0
going bed late headache,0
happy mother day mom,2
grabbing coffee making mom breakfast,1
im thinking im going fun tonight maybe change coming,2
thanks major chop,1
haha know cant handle fame thank,2
got updated ipod,1
yes sober hahaha tanghaling tapat dude haha wild knowwww plan plan go u,2
never miss icarly son huge crush miranda,2
saw james carville store today head really bald,1
yellow,1
mean going come back vancouver way hahah,1
feeling smooth like chrome,2
ew traffic,0
downloading song trying sneak lil homework main priority song lol,1
rara alone need coffee,1
sound like,1
bad day day realize mess put one happiest day life,1
walking class hate bike especially mine,0
nesmith,1
failed inspection know pas wo oven wo anti tip bracket sold w oven worse tax,0
jonas brother live party rocking hard love song,2
happy mother day mother world,2
google wave demo look lot fun would love test though,2
sleepy tabz heading bed fun night listened next episode joss,2
exception short dude larenz fineass tate yum,1
screw review thought wolverine awesome enough dominic monaghan liking,2
followed u recently please dont offended followed back hit limit hopefully free soon,2
yes work,1
hmmm maybe meant eluded something brand new know medium,1
done spa meeting vic late lunch,1
happy monday going tavares today hope everyone blessed day,2
always wanted go oz,1
thx,1
cool luv,2
need represent blackberry,2
okay dedicating tweet fact going apple store huge crack glass screen,1
could ever actually allowed stay,1
let know turn,1
sas detect long back sas haha,1
yeah thinking ahaha,2
sport bar shatranjanpoli rest ph sport bar andheri w dont know whether help google ki jai ho,1
sleeping accepts appology,0
wolverine bos seriously,0
live pain bring,1
okay back later,1
powerblog powerblog challenge keep talking newbie follower,1
almost died laptop screen set brightness reinstalled window vista got headache insanedefaults,2
waiting tish get got drive mom crv pick duckie first time,1
trying decide movie friend going well lol p bible study mean day cake buy,0
going shower want smell school tomorrow,1
sigh know,1
discovered cause bug new netplayer build publishing bug fix hopefully new beta tomorrow,2
free twitter tool get follower,1
got home work chugging big bottle apple juice,1
yes please dont go die cry normally lead small animal getting harmed,0
writing report card soooo tired amazing day check fb soon,2
big brother done,1
good news finally finished easactive workout paused hour bad news resistance band torn,1
well good morning wonderful day neighborhood thanks following another morning,2
ftsk mercy mercedes amazing tonight always,2
hope ok,2
school done already hurt much seeing every day,2
waited listening wind blowing tumbleweed none old enough know someone say crackerack,1
hell yeah,1
shirt dinner need ask actually ville,1
know,1
huh smelly noooo love alex vixon,1
went party last night dindin showed matching outfit great mind think alike anyway happy birthday ate lara,2
happy b day woke side earth wish bit late,2
thank teaching value better person day love much best mum world,2
happy mother day,2
laugh glad self confidence wonderful trait applaud extra loud okay,2
thanks,2
twittering day,1
getting ready week nice today stuck inside working,2
tres depressed,0
felt like behaved like son ate compensate pigged home roasted sugar almond painful tum threw still feel sick,0
happy mother day people love mom lot still,2
sorry hear,0
awesome dude yay surprise celebrity got meet year ago soooo friendly,2
make happy hear girl talk tweet nba could give nugget love,2
getting hang twitter,1
know neck jacked forced pay parking bc turn head parallel park free space,0
want back,1
going miss roomie longer roomy starting tomorrow,0
bathing two little angel keyla janice,1
yep finished chocked full spelling grammatical error cleaning tomorrow popping hehe,0
hahahha lol true always remember bd never remember date even day,1
family hanging,1
watching ellen love dish tanning gorgeous,2
goin hun worried,0
im bannished work till,0
morning get see let know right going go see wolverine,1
red top tabloid build em knock em,1
tonight party w girl minus vita,2
made sad thought jumping joy,1
simple,1
pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,1
saw play amazing,2
glad break twitter virginity two,2
dinner fam missed,0
live want better bound bad egg though soon learn,1
hell yeah kellynn got twitter finally,1
know worth shot though,2
opened facebook account little confused really get twitter seems much better,2
ship stuck,0
dustbin baby wait x,2
going dwell happened passed shame supportive life x,0
look like office tv get mlb network look like mlbn televising det bal game today wieters,1
home empty handed comic found today shall indulge cupcake magnolia bakery,1
laying bed til workkk oh life definitely pinched nerve,0
today busy day exhausting,0
going go sunday got much going weekend,1
sorry hear ur flight got cancelled blow,0
ohh tooth hurt ohh im sad hurt,0
get distracted like thank new follower taking trouble follow others feelin love,2
u think u bill ha ii finished paying mine broke,0
sure say big jst saw pic u ur last bday looked pretty miss,1
sore throat planning tet outing marwell though good time,1
mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutu,2
day without sleep migraine thought life meant relaxing,0
suck,0
whens sway sway winner announced,1
k check,1
pretty well wide awake,2
want wake early get coffee tomorrow today going busyy day keep writing booo whoo,1
miss daddy mommy,0
dog officially depressed brother dog gone want go outside play half heartedly,0
realized forward text msg iphone,1
frist post find new car parent exciting,2
argh noo missed killer wossy suck missed brandon total failure anyone know repeated must investigate,0
seriously bored without anyone talk tired enough sleep,0
lost please help find good home,0
peter gordon morning go piece wan na hide go piece almost die ever,1
ok got bit bad back lifting drum hardware car downer,0
lmao smh one threw,1
oh nice going,2
getting ready work working weekend,1
gon na celebrate mother day family gon na start partying tonite,2
agree,2
computer hopeless everything else,0
degree gross sky thunderstorm perfect match mood lol,2
aww thanks,2
sorry rb,0
saw amazing heeels big,1
stuck finger throat bunch bump tongue throat,0
dang last url went,0
ohoh missed ur tweet im gon na stay awake night see announcement time difference,0
damnit suck one one thought drag back lol,0
bos moving nyc,1
sooo crazy fever,0
spending saturday morning taking note research essay stupid recalled book using fair,0
think need new friend,1
looking forward gig ireland see ya,1
please review sunehre ad placement,2
aww loooove,2
hungry twitter want food,1
awesome lucky,2
yea know tell everything p send direct message telling haha,1
haha im jewish love one,2
great time beer garden wit boyos think sun got bit though feel bit ill,1
l day matt fun weekend,0
u really think maybe ur right lol btw phone u using think u told might app u,1
feel pain mine way,0
come home two day,1
sadly come one,0
cant wait see boy tomorrow,2
ehhh check dentist app next week though getting molar pulled root canal,1
aww miss driving elmwood,0
omg wango tango awsome love baby taking,2
version live interactive trans siberian ticket planner launched cool,2
really wish could go,2
yeah real hard know get smile,1
december good next big birthday fly sure,0
made night way funny,2
woo cavs happy mother day,2
make face get home mom watching soap,1
go work,1
believe went got boba without,1
today,1
thanks warm welcome make plan arrival time air,2
day counting,1
sorry friend swamped deadline right family visiting boot charade,0
brainfreeze,1
discovered shortcoming gravity use twitpic integrated subtract pic url character limit,1
sunburn peeling,0
perky purple nail polish perky chipped,1
